All,Name,Party,State,bioguide
"Wilson, Robert C. (Republican - California)","Wilson, Robert C. ",Republican , California),W000610
"Woolsey, Lynn C. (Democratic - California)","Woolsey, Lynn C. ",Democratic , California),W000738
"Zschau, Edwin V. W. (Republican - California)","Zschau, Edwin V. W. ",Republican , California),Z000014
"Allard, Wayne (Republican - Colorado)","Allard, Wayne ",Republican , Colorado),A000109
"Armstrong, William L. (Republican - Colorado)","Armstrong, William L. ",Republican , Colorado),A000219
"Beauprez, Bob (Republican - Colorado)","Beauprez, Bob ",Republican , Colorado),B001240
"Bennet, Michael F. (Democratic - Colorado)","Bennet, Michael F. ",Democratic , Colorado),B001267
"Brotzman, Donald G. (Republican - Colorado)","Brotzman, Donald G. ",Republican , Colorado),B000893
"Brown, Hank (Republican - Colorado)","Brown, Hank ",Republican , Colorado),B000919
"Buck, Ken (Republican - Colorado)","Buck, Ken ",Republican , Colorado),B001297
"Campbell, Ben Nighthorse (Democratic - Colorado)","Campbell, Ben Nighthorse ",Democratic , Colorado),C000077
"Coffman, Mike (Republican - Colorado)","Coffman, Mike ",Republican , Colorado),C001077
"DeGette, Diana (Democratic - Colorado)","DeGette, Diana ",Democratic , Colorado),D000197
